# Focal surface lookup table
# Extracted from DESI-0530-v9
# 2015-12-15 JHS
# Columns:  R, Z5,  S,   N
# Units:   mm, mm, mm, deg
206.0,-4.588298,206.069633,1.992631
207.0,-4.634570,207.070703,2.004378
208.0,-4.681075,208.071784,2.016161
209.0,-4.727814,209.072875,2.027981
210.0,-4.774785,210.073978,2.039838
211.0,-4.821988,211.075091,2.051732
212.0,-4.869424,212.076216,2.063663
213.0,-4.917091,213.077351,2.075633
214.0,-4.964991,214.078498,2.087640
215.0,-5.013121,215.079655,2.099686
216.0,-5.061482,216.080824,2.111770
217.0,-5.110075,217.082004,2.123893
218.0,-5.158897,218.083195,2.136056
219.0,-5.207950,219.084397,2.148259
220.0,-5.257233,220.085611,2.160501
221.0,-5.306745,221.086836,2.172785
222.0,-5.356486,222.088072,2.185109
223.0,-5.406456,223.089320,2.197475
224.0,-5.456655,224.090579,2.209882
225.0,-5.507082,225.091850,2.222332
226.0,-5.557737,226.093132,2.234824
227.0,-5.608620,227.094426,2.247360
228.0,-5.659730,228.095731,2.259939
229.0,-5.711068,229.097048,2.272563
230.0,-5.762632,230.098377,2.285231
231.0,-5.814423,231.099717,2.297945
232.0,-5.866440,232.101069,2.310705
233.0,-5.918683,233.102432,2.323511
234.0,-5.971151,234.103808,2.336363
235.0,-6.023845,235.105195,2.349264
236.0,-6.076764,236.106595,2.362213
237.0,-6.129908,237.108006,2.375210
238.0,-6.183276,238.109429,2.388257
239.0,-6.236869,239.110864,2.401354
240.0,-6.290685,240.112311,2.414501
241.0,-6.344725,241.113770,2.427698
242.0,-6.398989,242.115241,2.440945
243.0,-6.453476,243.116725,2.454244
244.0,-6.508186,244.118220,2.467593
245.0,-6.563118,245.119728,2.480994
246.0,-6.618273,246.121248,2.494446
247.0,-6.673650,247.122780,2.507950
248.0,-6.729249,248.124324,2.521507
249.0,-6.785071,249.125881,2.535116
250.0,-6.841113,250.127450,2.548779
251.0,-6.897377,251.129032,2.562495
252.0,-6.953862,252.130626,2.576266
253.0,-7.010568,253.132232,2.590090
254.0,-7.067495,254.133851,2.603970
255.0,-7.124643,255.135483,2.617905
256.0,-7.182011,256.137127,2.631896
257.0,-7.239600,257.138784,2.645943
258.0,-7.297408,258.140453,2.660048
259.0,-7.355437,259.142136,2.674210
260.0,-7.413686,260.143831,2.688430
261.0,-7.472154,261.145538,2.702709
262.0,-7.530842,262.147259,2.717047
263.0,-7.589750,263.148993,2.731445
264.0,-7.648877,264.150739,2.745904
265.0,-7.708224,265.152499,2.760424
266.0,-7.767791,266.154271,2.775005
267.0,-7.827576,267.156057,2.789650
268.0,-7.887581,268.157855,2.804358
269.0,-7.947806,269.159667,2.819130
270.0,-8.008250,270.161492,2.833967
271.0,-8.068913,271.163331,2.848869
272.0,-8.129796,272.165182,2.863838
273.0,-8.190898,273.167047,2.878874
274.0,-8.252219,274.168926,2.893978
275.0,-8.313760,275.170818,2.909151
276.0,-8.375521,276.172723,2.924394
277.0,-8.437501,277.174642,2.939707
278.0,-8.499702,278.176574,2.955092
279.0,-8.562122,279.178521,2.970549
280.0,-8.624762,280.180481,2.986079
281.0,-8.687623,281.182454,3.001683
282.0,-8.750704,282.184442,3.017360
283.0,-8.814006,283.186444,3.033111
284.0,-8.877529,284.188459,3.048937
285.0,-8.941273,285.190489,3.064838
286.0,-9.005239,286.192533,3.080815
287.0,-9.069426,287.194590,3.096868
288.0,-9.133835,288.196663,3.112998
289.0,-9.198466,289.198749,3.129205
290.0,-9.263320,290.200850,3.145491
291.0,-9.328397,291.202965,3.161854
292.0,-9.393697,292.205095,3.178297
293.0,-9.459220,293.207239,3.194820
294.0,-9.524968,294.209398,3.211422
295.0,-9.590941,295.211572,3.228106
296.0,-9.657138,296.213761,3.244872
297.0,-9.723561,297.215964,3.261719
298.0,-9.790210,298.218183,3.278650
299.0,-9.857085,299.220416,3.295664
300.0,-9.924187,300.222665,3.312762
301.0,-9.991516,301.224929,3.329945
302.0,-10.059074,302.227209,3.347214
303.0,-10.126860,303.229504,3.364570
304.0,-10.194876,304.231814,3.382012
305.0,-10.263121,305.234140,3.399542
306.0,-10.331597,306.236482,3.417160
307.0,-10.400304,307.238839,3.434867
308.0,-10.469243,308.241213,3.452665
309.0,-10.538415,309.243602,3.470553
310.0,-10.607820,310.246008,3.488532
311.0,-10.677460,311.248430,3.506603
312.0,-10.747334,312.250868,3.524767
313.0,-10.817444,313.253323,3.543025
314.0,-10.887791,314.255794,3.561377
315.0,-10.958375,315.258282,3.579823
316.0,-11.029197,316.260787,3.598366
317.0,-11.100259,317.263309,3.617005
318.0,-11.171560,318.265847,3.635741
319.0,-11.243103,319.268403,3.654575
320.0,-11.314888,320.270976,3.673507
321.0,-11.386915,321.273567,3.692539
322.0,-11.459187,322.276175,3.711672
323.0,-11.531704,323.278801,3.730908
324.0,-11.604467,324.281445,3.750248
325.0,-11.677477,325.284107,3.769693
326.0,-11.750735,326.286786,3.789246
327.0,-11.824243,327.289484,3.808908
328.0,-11.898001,328.292201,3.828680
329.0,-11.972010,329.294936,3.848565
330.0,-12.046273,330.297689,3.868562
331.0,-12.120789,331.300462,3.888675
332.0,-12.195561,332.303253,3.908904
333.0,-12.270589,333.306064,3.929251
334.0,-12.345874,334.308894,3.949717
335.0,-12.421419,335.311744,3.970304
336.0,-12.497224,336.314613,3.991013
337.0,-12.573290,337.317501,4.011845
338.0,-12.649619,338.320410,4.032802
339.0,-12.726212,339.323339,4.053885
340.0,-12.803071,340.326289,4.075095
341.0,-12.880197,341.329258,4.096434
342.0,-12.957590,342.332249,4.117903
343.0,-13.035254,343.335260,4.139502
344.0,-13.113188,344.338292,4.161234
345.0,-13.191395,345.341346,4.183098
346.0,-13.269876,346.344421,4.205097
347.0,-13.348632,347.347517,4.227231
348.0,-13.427665,348.350635,4.249502
349.0,-13.506977,349.353776,4.271909
350.0,-13.586567,350.356938,4.294455
351.0,-13.666440,351.360123,4.317139
352.0,-13.746594,352.363330,4.339963
353.0,-13.827033,353.366560,4.362928
354.0,-13.907758,354.369813,4.386033
355.0,-13.988770,355.373089,4.409281
356.0,-14.070071,356.376389,4.432670
357.0,-14.151662,357.379712,4.456203
358.0,-14.233545,358.383058,4.479879
359.0,-14.315721,359.386429,4.503698
360.0,-14.398191,360.389824,4.527662
361.0,-14.480959,361.393243,4.551770
362.0,-14.564024,362.396687,4.576023
363.0,-14.647388,363.400156,4.600420
364.0,-14.731053,364.403650,4.624964
365.0,-14.815021,365.407169,4.649659
366.0,-14.899292,366.410714,4.674507
367.0,-14.983869,367.414284,4.699511
368.0,-15.068753,368.417880,4.724676
369.0,-15.153945,369.421502,4.750003
370.0,-15.239447,370.425151,4.775495
371.0,-15.325260,371.428826,4.801157
372.0,-15.411386,372.432528,4.826989
373.0,-15.497826,373.436257,4.852995
374.0,-15.584581,374.440013,4.879178
375.0,-15.671653,375.443797,4.905540
